year,SP500_start,SP500_end,SP500_annual,SP500_cumul,KOSPI_start,KOSPI_end,KOSPI_annual,KOSPI_cumul
2021,3714.239990234375,4766.18017578125,28.3,28.3,2976.2099609375,2977.64990234375,0.0,0.0
2022,4515.5498046875,3839.5,-15.0,3.4,2663.340087890625,2236.39990234375,-16.0,-24.9
2023,4076.60009765625,4769.830078125,17.0,28.4,2425.080078125,2655.280029296875,9.5,-10.8
2024,4845.64990234375,5881.6298828125,21.4,58.4,2497.090087890625,2399.489990234375,-3.9,-19.4
2025,6040.52978515625,6845.5,13.3,84.3,2517.3701171875,4214.169921875,67.4,41.6
