"행정구역","2021년12월_전체세대","2021년12월_1인세대","2021년12월_2인세대","2021년12월_3인세대","2021년12월_4인세대","2021년12월_5인세대","2021년12월_6인세대","2021년12월_7인세대","2021년12월_8인세대","2021년12월_9인세대","2021년12월_10인이상세대","2022년01월_전체세대","2022년01월_1인세대","2022년01월_2인세대","2022년01월_3인세대","2022년01월_4인세대","2022년01월_5인세대","2022년01월_6인세대","2022년01월_7인세대","2022년01월_8인세대","2022년01월_9인세대","2022년01월_10인이상세대","2022년02월_전체세대","2022년02월_1인세대","2022년02월_2인세대","2022년02월_3인세대","2022년02월_4인세대","2022년02월_5인세대","2022년02월_6인세대","2022년02월_7인세대","2022년02월_8인세대","2022년02월_9인세대","2022년02월_10인이상세대","2022년03월_전체세대","2022년03월_1인세대","2022년03월_2인세대","2022년03월_3인세대","2022년03월_4인세대","2022년03월_5인세대","2022년03월_6인세대","2022년03월_7인세대","2022년03월_8인세대","2022년03월_9인세대","2022년03월_10인이상세대","2022년04월_전체세대","2022년04월_1인세대","2022년04월_2인세대","2022년04월_3인세대","2022년04월_4인세대","2022년04월_5인세대","2022년04월_6인세대","2022년04월_7인세대","2022년04월_8인세대","2022년04월_9인세대","2022년04월_10인이상세대","2022년05월_전체세대","2022년05월_1인세대","2022년05월_2인세대","2022년05월_3인세대","2022년05월_4인세대","2022년05월_5인세대","2022년05월_6인세대","2022년05월_7인세대","2022년05월_8인세대","2022년05월_9인세대","2022년05월_10인이상세대","2022년06월_전체세대","2022년06월_1인세대","2022년06월_2인세대","2022년06월_3인세대","2022년06월_4인세대","2022년06월_5인세대","2022년06월_6인세대","2022년06월_7인세대","2022년06월_8인세대","2022년06월_9인세대","2022년06월_10인이상세대","2022년07월_전체세대","2022년07월_1인세대","2022년07월_2인세대","2022년07월_3인세대","2022년07월_4인세대","2022년07월_5인세대","2022년07월_6인세대","2022년07월_7인세대","2022년07월_8인세대","2022년07월_9인세대","2022년07월_10인이상세대","2022년08월_전체세대","2022년08월_1인세대","2022년08월_2인세대","2022년08월_3인세대","2022년08월_4인세대","2022년08월_5인세대","2022년08월_6인세대","2022년08월_7인세대","2022년08월_8인세대","2022년08월_9인세대","2022년08월_10인이상세대","2022년09월_전체세대","2022년09월_1인세대","2022년09월_2인세대","2022년09월_3인세대","2022년09월_4인세대","2022년09월_5인세대","2022년09월_6인세대","2022년09월_7인세대","2022년09월_8인세대","2022년09월_9인세대","2022년09월_10인이상세대","2022년10월_전체세대","2022년10월_1인세대","2022년10월_2인세대","2022년10월_3인세대","2022년10월_4인세대","2022년10월_5인세대","2022년10월_6인세대","2022년10월_7인세대","2022년10월_8인세대","2022년10월_9인세대","2022년10월_10인이상세대","2022년11월_전체세대","2022년11월_1인세대","2022년11월_2인세대","2022년11월_3인세대","2022년11월_4인세대","2022년11월_5인세대","2022년11월_6인세대","2022년11월_7인세대","2022년11월_8인세대","2022년11월_9인세대","2022년11월_10인이상세대","2022년12월_전체세대","2022년12월_1인세대","2022년12월_2인세대","2022년12월_3인세대","2022년12월_4인세대","2022년12월_5인세대","2022년12월_6인세대","2022년12월_7인세대","2022년12월_8인세대","2022년12월_9인세대","2022년12월_10인이상세대","2023년01월_전체세대","2023년01월_1인세대","2023년01월_2인세대","2023년01월_3인세대","2023년01월_4인세대","2023년01월_5인세대","2023년01월_6인세대","2023년01월_7인세대","2023년01월_8인세대","2023년01월_9인세대","2023년01월_10인이상세대","2023년02월_전체세대","2023년02월_1인세대","2023년02월_2인세대","2023년02월_3인세대","2023년02월_4인세대","2023년02월_5인세대","2023년02월_6인세대","2023년02월_7인세대","2023년02월_8인세대","2023년02월_9인세대","2023년02월_10인이상세대","2023년03월_전체세대","2023년03월_1인세대","2023년03월_2인세대","2023년03월_3인세대","2023년03월_4인세대","2023년03월_5인세대","2023년03월_6인세대","2023년03월_7인세대","2023년03월_8인세대","2023년03월_9인세대","2023년03월_10인이상세대","2023년04월_전체세대","2023년04월_1인세대","2023년04월_2인세대","2023년04월_3인세대","2023년04월_4인세대","2023년04월_5인세대","2023년04월_6인세대","2023년04월_7인세대","2023년04월_8인세대","2023년04월_9인세대","2023년04월_10인이상세대","2023년05월_전체세대","2023년05월_1인세대","2023년05월_2인세대","2023년05월_3인세대","2023년05월_4인세대","2023년05월_5인세대","2023년05월_6인세대","2023년05월_7인세대","2023년05월_8인세대","2023년05월_9인세대","2023년05월_10인이상세대","2023년06월_전체세대","2023년06월_1인세대","2023년06월_2인세대","2023년06월_3인세대","2023년06월_4인세대","2023년06월_5인세대","2023년06월_6인세대","2023년06월_7인세대","2023년06월_8인세대","2023년06월_9인세대","2023년06월_10인이상세대","2023년07월_전체세대","2023년07월_1인세대","2023년07월_2인세대","2023년07월_3인세대","2023년07월_4인세대","2023년07월_5인세대","2023년07월_6인세대","2023년07월_7인세대","2023년07월_8인세대","2023년07월_9인세대","2023년07월_10인이상세대","2023년08월_전체세대","2023년08월_1인세대","2023년08월_2인세대","2023년08월_3인세대","2023년08월_4인세대","2023년08월_5인세대","2023년08월_6인세대","2023년08월_7인세대","2023년08월_8인세대","2023년08월_9인세대","2023년08월_10인이상세대","2023년09월_전체세대","2023년09월_1인세대","2023년09월_2인세대","2023년09월_3인세대","2023년09월_4인세대","2023년09월_5인세대","2023년09월_6인세대","2023년09월_7인세대","2023년09월_8인세대","2023년09월_9인세대","2023년09월_10인이상세대","2023년10월_전체세대","2023년10월_1인세대","2023년10월_2인세대","2023년10월_3인세대","2023년10월_4인세대","2023년10월_5인세대","2023년10월_6인세대","2023년10월_7인세대","2023년10월_8인세대","2023년10월_9인세대","2023년10월_10인이상세대","2023년11월_전체세대","2023년11월_1인세대","2023년11월_2인세대","2023년11월_3인세대","2023년11월_4인세대","2023년11월_5인세대","2023년11월_6인세대","2023년11월_7인세대","2023년11월_8인세대","2023년11월_9인세대","2023년11월_10인이상세대","2023년12월_전체세대","2023년12월_1인세대","2023년12월_2인세대","2023년12월_3인세대","2023년12월_4인세대","2023년12월_5인세대","2023년12월_6인세대","2023년12월_7인세대","2023년12월_8인세대","2023년12월_9인세대","2023년12월_10인이상세대","2024년01월_전체세대","2024년01월_1인세대","2024년01월_2인세대","2024년01월_3인세대","2024년01월_4인세대","2024년01월_5인세대","2024년01월_6인세대","2024년01월_7인세대","2024년01월_8인세대","2024년01월_9인세대","2024년01월_10인이상세대","2024년02월_전체세대","2024년02월_1인세대","2024년02월_2인세대","2024년02월_3인세대","2024년02월_4인세대","2024년02월_5인세대","2024년02월_6인세대","2024년02월_7인세대","2024년02월_8인세대","2024년02월_9인세대","2024년02월_10인이상세대","2024년03월_전체세대","2024년03월_1인세대","2024년03월_2인세대","2024년03월_3인세대","2024년03월_4인세대","2024년03월_5인세대","2024년03월_6인세대","2024년03월_7인세대","2024년03월_8인세대","2024년03월_9인세대","2024년03월_10인이상세대","2024년04월_전체세대","2024년04월_1인세대","2024년04월_2인세대","2024년04월_3인세대","2024년04월_4인세대","2024년04월_5인세대","2024년04월_6인세대","2024년04월_7인세대","2024년04월_8인세대","2024년04월_9인세대","2024년04월_10인이상세대","2024년05월_전체세대","2024년05월_1인세대","2024년05월_2인세대","2024년05월_3인세대","2024년05월_4인세대","2024년05월_5인세대","2024년05월_6인세대","2024년05월_7인세대","2024년05월_8인세대","2024년05월_9인세대","2024년05월_10인이상세대","2024년06월_전체세대","2024년06월_1인세대","2024년06월_2인세대","2024년06월_3인세대","2024년06월_4인세대","2024년06월_5인세대","2024년06월_6인세대","2024년06월_7인세대","2024년06월_8인세대","2024년06월_9인세대","2024년06월_10인이상세대","2024년07월_전체세대","2024년07월_1인세대","2024년07월_2인세대","2024년07월_3인세대","2024년07월_4인세대","2024년07월_5인세대","2024년07월_6인세대","2024년07월_7인세대","2024년07월_8인세대","2024년07월_9인세대","2024년07월_10인이상세대","2024년08월_전체세대","2024년08월_1인세대","2024년08월_2인세대","2024년08월_3인세대","2024년08월_4인세대","2024년08월_5인세대","2024년08월_6인세대","2024년08월_7인세대","2024년08월_8인세대","2024년08월_9인세대","2024년08월_10인이상세대","2024년09월_전체세대","2024년09월_1인세대","2024년09월_2인세대","2024년09월_3인세대","2024년09월_4인세대","2024년09월_5인세대","2024년09월_6인세대","2024년09월_7인세대","2024년09월_8인세대","2024년09월_9인세대","2024년09월_10인이상세대","2024년10월_전체세대","2024년10월_1인세대","2024년10월_2인세대","2024년10월_3인세대","2024년10월_4인세대","2024년10월_5인세대","2024년10월_6인세대","2024년10월_7인세대","2024년10월_8인세대","2024년10월_9인세대","2024년10월_10인이상세대","2024년11월_전체세대","2024년11월_1인세대","2024년11월_2인세대","2024년11월_3인세대","2024년11월_4인세대","2024년11월_5인세대","2024년11월_6인세대","2024년11월_7인세대","2024년11월_8인세대","2024년11월_9인세대","2024년11월_10인이상세대","2024년12월_전체세대","2024년12월_1인세대","2024년12월_2인세대","2024년12월_3인세대","2024년12월_4인세대","2024년12월_5인세대","2024년12월_6인세대","2024년12월_7인세대","2024년12월_8인세대","2024년12월_9인세대","2024년12월_10인이상세대","2025년01월_전체세대","2025년01월_1인세대","2025년01월_2인세대","2025년01월_3인세대","2025년01월_4인세대","2025년01월_5인세대","2025년01월_6인세대","2025년01월_7인세대","2025년01월_8인세대","2025년01월_9인세대","2025년01월_10인이상세대","2025년02월_전체세대","2025년02월_1인세대","2025년02월_2인세대","2025년02월_3인세대","2025년02월_4인세대","2025년02월_5인세대","2025년02월_6인세대","2025년02월_7인세대","2025년02월_8인세대","2025년02월_9인세대","2025년02월_10인이상세대","2025년03월_전체세대","2025년03월_1인세대","2025년03월_2인세대","2025년03월_3인세대","2025년03월_4인세대","2025년03월_5인세대","2025년03월_6인세대","2025년03월_7인세대","2025년03월_8인세대","2025년03월_9인세대","2025년03월_10인이상세대","2025년04월_전체세대","2025년04월_1인세대","2025년04월_2인세대","2025년04월_3인세대","2025년04월_4인세대","2025년04월_5인세대","2025년04월_6인세대","2025년04월_7인세대","2025년04월_8인세대","2025년04월_9인세대","2025년04월_10인이상세대","2025년05월_전체세대","2025년05월_1인세대","2025년05월_2인세대","2025년05월_3인세대","2025년05월_4인세대","2025년05월_5인세대","2025년05월_6인세대","2025년05월_7인세대","2025년05월_8인세대","2025년05월_9인세대","2025년05월_10인이상세대","2025년06월_전체세대","2025년06월_1인세대","2025년06월_2인세대","2025년06월_3인세대","2025년06월_4인세대","2025년06월_5인세대","2025년06월_6인세대","2025년06월_7인세대","2025년06월_8인세대","2025년06월_9인세대","2025년06월_10인이상세대","2025년07월_전체세대","2025년07월_1인세대","2025년07월_2인세대","2025년07월_3인세대","2025년07월_4인세대","2025년07월_5인세대","2025년07월_6인세대","2025년07월_7인세대","2025년07월_8인세대","2025년07월_9인세대","2025년07월_10인이상세대","2025년08월_전체세대","2025년08월_1인세대","2025년08월_2인세대","2025년08월_3인세대","2025년08월_4인세대","2025년08월_5인세대","2025년08월_6인세대","2025년08월_7인세대","2025년08월_8인세대","2025년08월_9인세대","2025년08월_10인이상세대","2025년09월_전체세대","2025년09월_1인세대","2025년09월_2인세대","2025년09월_3인세대","2025년09월_4인세대","2025년09월_5인세대","2025년09월_6인세대","2025년09월_7인세대","2025년09월_8인세대","2025년09월_9인세대","2025년09월_10인이상세대","2025년10월_전체세대","2025년10월_1인세대","2025년10월_2인세대","2025년10월_3인세대","2025년10월_4인세대","2025년10월_5인세대","2025년10월_6인세대","2025년10월_7인세대","2025년10월_8인세대","2025년10월_9인세대","2025년10월_10인이상세대","2025년11월_전체세대","2025년11월_1인세대","2025년11월_2인세대","2025년11월_3인세대","2025년11월_4인세대","2025년11월_5인세대","2025년11월_6인세대","2025년11월_7인세대","2025년11월_8인세대","2025년11월_9인세대","2025년11월_10인이상세대","2025년12월_전체세대","2025년12월_1인세대","2025년12월_2인세대","2025년12월_3인세대","2025년12월_4인세대","2025년12월_5인세대","2025년12월_6인세대","2025년12월_7인세대","2025년12월_8인세대","2025년12월_9인세대","2025년12월_10인이상세대"
"전국  (1000000000)","23,472,895","9,461,695","5,613,943","3,998,644","3,369,721","817,794","160,409","36,020","9,249","2,748","2,672","23,498,025","9,487,295","5,624,797","3,999,494","3,361,996","814,703","159,467","35,755","9,157","2,731","2,630","23,546,053","9,536,087","5,643,503","4,004,656","3,345,084","808,445","158,282","35,563","9,059","2,749","2,625","23,590,069","9,583,452","5,660,021","4,007,139","3,331,490","802,756","156,148","34,906","8,869","2,711","2,577","23,617,091","9,616,690","5,669,727","4,006,391","3,322,316","798,586","154,783","34,560","8,777","2,692","2,569","23,650,555","9,652,489","5,683,793","4,007,133","3,310,684","794,461","153,627","34,343","8,768","2,703","2,554","23,675,578","9,678,868","5,694,665","4,007,740","3,301,471","791,551","153,114","34,177","8,737","2,713","2,542","23,699,750","9,704,903","5,704,104","4,008,799","3,292,112","789,103","152,582","34,163","8,719","2,718","2,547","23,724,829","9,733,811","5,714,985","4,011,466","3,279,584","784,968","152,024","34,009","8,728","2,724","2,530","23,682,288","9,703,699","5,719,358","4,009,615","3,268,324","781,784","151,503","34,081","8,689","2,703","2,532","23,697,051","9,719,780","5,726,621","4,009,910","3,261,782","779,447","151,440","34,124","8,713","2,714","2,520","23,699,243","9,719,128","5,734,777","4,010,294","3,257,380","778,039","151,500","34,098","8,757","2,748","2,522","23,705,814","9,724,256","5,744,486","4,010,553","3,250,715","776,259","151,290","34,162","8,817","2,760","2,516","23,716,980","9,735,829","5,750,773","4,012,668","3,244,836","773,827","150,865","34,149","8,779","2,735","2,519","23,757,654","9,778,105","5,766,251","4,018,125","3,228,664","768,589","149,965","33,929","8,764","2,743","2,519","23,795,469","9,817,789","5,779,497","4,021,667","3,216,590","764,136","148,540","33,369","8,688","2,680","2,513","23,814,826","9,838,016","5,788,416","4,022,414","3,209,787","761,398","147,847","33,122","8,623","2,687","2,516","23,838,308","9,862,054","5,800,240","4,023,476","3,200,085","758,718","146,996","32,964","8,579","2,692","2,504","23,856,142","9,880,171","5,809,862","4,025,074","3,192,113","755,941","146,251","32,937","8,592","2,685","2,516","23,873,825","9,897,874","5,819,694","4,025,841","3,184,161","753,925","145,696","32,907","8,549","2,671","2,507","23,888,954","9,910,894","5,832,182","4,028,318","3,175,125","750,699","145,284","32,773","8,516","2,669","2,494","23,900,917","9,921,288","5,841,887","4,029,479","3,168,157","748,652","145,011","32,785","8,498","2,656","2,504","23,901,564","9,921,610","5,849,322","4,030,146","3,161,946","746,840","145,036","32,920","8,571","2,661","2,512","23,904,793","9,925,369","5,856,945","4,030,124","3,155,654","745,135","144,875","33,003","8,529","2,634","2,525","23,914,851","9,935,600","5,866,073","4,029,815","3,148,835","743,232","144,626","32,964","8,542","2,631","2,533","23,924,692","9,943,426","5,876,130","4,031,182","3,143,066","740,553","143,894","32,708","8,587","2,635","2,511","23,962,497","9,981,702","5,892,869","4,035,915","3,127,685","735,168","143,018","32,443","8,592","2,637","2,468","24,002,008","10,021,413","5,909,638","4,040,571","3,113,527","729,766","141,573","32,029","8,455","2,570","2,466","24,021,667","10,039,114","5,922,770","4,042,472","3,105,280","726,505","140,347","31,833","8,336","2,563","2,447","24,042,533","10,058,348","5,935,666","4,044,281","3,097,156","722,767","139,439","31,628","8,247","2,553","2,448","24,057,429","10,072,151","5,945,414","4,045,307","3,090,355","720,562","138,966","31,413","8,248","2,556","2,457","24,074,820","10,087,777","5,957,432","4,045,791","3,083,372","717,466","138,487","31,292","8,220","2,537","2,446","24,087,679","10,097,848","5,969,231","4,048,563","3,075,099","714,687","137,846","31,234","8,175","2,545","2,451","24,102,045","10,111,565","5,978,232","4,050,904","3,067,411","712,202","137,382","31,206","8,156","2,557","2,430","24,105,045","10,111,110","5,987,602","4,052,455","3,061,968","710,303","137,232","31,173","8,231","2,557","2,414","24,109,581","10,114,934","5,994,957","4,052,602","3,056,936","708,746","137,102","31,091","8,263","2,540","2,410","24,118,928","10,122,587","6,005,284","4,052,362","3,050,745","707,014","136,768","30,978","8,259","2,506","2,425","24,124,988","10,127,321","6,011,767","4,054,221","3,046,930","704,533","136,158","30,905","8,223","2,505","2,425","24,170,531","10,174,915","6,030,847","4,060,130","3,028,391","697,898","134,816","30,520","8,127","2,490","2,397","24,197,999","10,202,074","6,043,566","4,063,346","3,018,732","694,005","133,311","30,111","7,986","2,474","2,394","24,212,185","10,215,280","6,052,856","4,064,674","3,012,657","691,574","132,528","29,834","7,932","2,454","2,396","24,223,795","10,221,499","6,066,799","4,066,575","3,005,979","688,833","131,806","29,566","7,885","2,465","2,388","24,238,510","10,232,016","6,079,476","4,068,207","2,999,680","686,000","131,031","29,430","7,841","2,450","2,379","24,250,962","10,236,511","6,095,960","4,070,283","2,993,545","682,718","130,118","29,272","7,763","2,423","2,369","24,266,454","10,246,362","6,110,918","4,073,741","2,984,540","679,716","129,551","29,170","7,711","2,407","2,338","24,282,926","10,258,822","6,124,289","4,075,550","2,976,804","676,803","129,235","29,012","7,670","2,391","2,350","24,287,806","10,261,253","6,131,945","4,076,699","2,971,852","675,569","129,019","29,037","7,655","2,418","2,359","24,290,907","10,264,562","6,139,778","4,075,715","2,966,554","673,861","128,873","29,138","7,652","2,408","2,366","24,300,087","10,272,573","6,150,418","4,075,321","2,959,639","671,957","128,571","29,212","7,643","2,401","2,352"
"서울특별시  (1100000000)","4,426,007","1,906,690","978,393","750,762","616,312","135,649","28,628","6,705","1,848","581","439","4,430,541","1,912,938","979,236","750,842","614,479","135,036","28,507","6,654","1,839","581","429","4,442,586","1,926,211","981,260","751,191","611,902","134,214","28,379","6,617","1,813","581","418","4,451,444","1,936,401","983,457","751,215","609,666","133,375","28,030","6,535","1,781","575","409","4,455,106","1,942,348","984,417","750,874","607,782","132,679","27,803","6,473","1,747","572","411","4,460,604","1,949,213","986,480","750,614","605,527","131,934","27,662","6,428","1,756","582","408","4,464,840","1,954,624","987,846","750,212","603,778","131,563","27,662","6,418","1,752","579","406","4,469,392","1,960,852","988,300","750,104","602,134","131,163","27,665","6,420","1,773","568","413","4,472,975","1,966,825","988,641","750,136","599,883","130,599","27,697","6,404","1,803","570","417","4,450,525","1,951,031","986,747","748,527","597,372","130,013","27,608","6,433","1,801","575","418","4,450,389","1,953,380","986,743","747,660","596,055","129,728","27,598","6,438","1,800","571","416","4,448,660","1,953,164","987,222","747,015","595,009","129,418","27,614","6,409","1,810","582","417","4,446,296","1,952,606","987,812","746,253","593,592","129,242","27,546","6,433","1,815","580","417","4,447,861","1,955,415","988,204","746,226","592,481","128,787","27,500","6,437","1,815","572","424","4,457,982","1,966,440","989,801","746,697","590,337","128,064","27,403","6,438","1,815","567","420","4,463,385","1,972,663","991,063","746,986","588,864","127,402","27,261","6,358","1,808","567","413","4,465,391","1,975,826","991,884","746,874","587,572","126,908","27,202","6,323","1,822","568","412","4,467,999","1,979,457","993,193","746,974","585,570","126,626","27,093","6,310","1,795","573","408","4,469,158","1,981,674","994,304","746,928","583,976","126,212","26,962","6,298","1,809","580","415","4,471,174","1,984,710","995,049","746,982","582,404","125,993","26,884","6,345","1,816","585","406","4,473,734","1,987,252","996,834","747,220","580,875","125,564","26,872","6,335","1,800","573","409","4,475,726","1,989,926","997,634","747,320","579,517","125,303","26,852","6,396","1,789","583","406","4,472,603","1,988,121","997,838","747,166","578,255","125,099","26,893","6,438","1,810","570","413","4,469,374","1,986,944","997,734","746,880","576,961","124,769","26,871","6,425","1,808","573","409","4,469,417","1,988,235","998,390","746,450","575,701","124,637","26,772","6,429","1,817","587","399","4,471,017","1,989,819","999,525","746,786","574,794","124,221","26,665","6,392","1,827","588","400","4,480,607","1,999,999","1,001,422","747,237","572,803","123,414","26,581","6,325","1,847","587","392","4,485,819","2,006,402","1,002,533","747,582","570,896","122,867","26,442","6,308","1,828","572","389","4,486,137","2,008,104","1,003,480","747,406","569,433","122,345","26,279","6,320","1,802","578","390","4,486,224","2,009,509","1,004,306","747,485","567,842","121,843","26,132","6,349","1,792","563","403","4,486,014","2,010,450","1,005,159","747,299","566,364","121,577","26,099","6,298","1,800","566","402","4,486,857","2,012,549","1,006,551","746,734","564,798","121,166","26,018","6,294","1,780","566","401","4,487,525","2,014,098","1,007,694","746,771","563,053","120,842","26,019","6,297","1,783","565","403","4,487,671","2,015,072","1,008,611","746,903","561,616","120,419","26,024","6,288","1,768","573","397","4,484,218","2,012,677","1,008,999","746,894","560,449","120,186","25,961","6,294","1,792","574","392","4,481,533","2,011,430","1,009,260","746,743","559,303","119,832","25,906","6,279","1,814","575","391","4,482,063","2,012,137","1,010,838","746,493","558,273","119,525","25,828","6,202","1,799","572","396","4,482,949","2,012,731","1,011,646","747,067","557,668","119,209","25,653","6,227","1,789","570","389","4,492,425","2,021,780","1,014,041","747,771","555,806","118,587","25,526","6,179","1,777","572","386","4,497,896","2,026,982","1,015,862","748,352","554,453","118,081","25,345","6,110","1,741","576","394","4,498,689","2,028,044","1,017,219","748,707","553,011","117,713","25,218","6,085","1,721","579","392","4,498,871","2,027,536","1,019,622","749,240","551,347","117,233","25,151","6,048","1,730","573","391","4,501,234","2,029,677","1,021,720","749,599","549,776","116,754","25,009","6,009","1,734","565","391","4,502,552","2,029,756","1,024,655","749,921","548,470","116,221","24,821","6,029","1,737","562","380","4,504,347","2,030,749","1,026,813","750,806","546,729","115,802","24,753","6,037","1,726","555","377","4,505,357","2,031,598","1,028,698","751,100","545,338","115,278","24,675","6,018","1,721","552","379","4,503,798","2,030,356","1,029,774","750,982","544,364","115,033","24,641","6,010","1,712","540","386","4,501,136","2,029,018","1,030,405","750,515","543,243","114,714","24,580","6,025","1,716","539","381","4,501,031","2,029,785","1,031,855","750,246","541,782","114,282","24,440","6,015","1,707","538","381"
"부산광역시  (2600000000)","1,544,663","615,618","394,176","270,214","206,023","46,762","9,122","1,958","478","169","143","1,546,414","617,861","394,950","269,969","205,343","46,533","9,035","1,936","471","170","146","1,549,967","621,952","396,118","270,191","204,040","46,078","8,887","1,917","471","167","146","1,551,767","624,877","396,969","269,861","203,016","45,654","8,737","1,880","469","163","141","1,553,032","627,185","397,474","269,637","202,137","45,363","8,597","1,877","453","168","141","1,555,326","630,023","398,755","269,238","201,110","45,061","8,527","1,858","450","165","139","1,556,938","632,119","399,441","269,116","200,315","44,859","8,508","1,823","453","163","141","1,558,052","633,840","400,073","269,020","199,425","44,651","8,460","1,817","456","168","142","1,559,462","636,329","400,635","268,776","198,412","44,310","8,416","1,814","469","159","142","1,555,449","633,249","401,034","268,505","197,579","44,116","8,389","1,804","471","161","141","1,556,293","634,549","401,564","268,284","197,015","43,899","8,398","1,808","476","160","140","1,555,836","634,374","401,885","268,222","196,584","43,798","8,391","1,805","471","164","142","1,555,867","635,133","402,129","267,912","196,031","43,712","8,358","1,815","472","164","141","1,556,086","635,843","402,259","267,893","195,603","43,559","8,329","1,823","470","166","141","1,559,593","639,901","403,037","268,264","194,315","43,229","8,268","1,792","476","169","142","1,561,008","641,910","403,577","268,245","193,558","42,979","8,189","1,771","476","164","139","1,561,666","643,078","404,067","268,170","192,897","42,766","8,164","1,750","476","157","141","1,562,595","644,694","404,391","268,192","192,131","42,562","8,100","1,756","468","158","143","1,563,362","646,034","404,887","268,153","191,429","42,284","8,058","1,744","467","161","145","1,564,252","647,458","405,437","267,998","190,710","42,138","7,986","1,756","464","161","144","1,564,900","648,607","406,035","267,946","189,917","41,912","7,969","1,754","456","160","144","1,565,115","649,225","406,391","267,894","189,421","41,715","7,961","1,746","456","163","143","1,564,546","649,083","406,919","267,529","188,931","41,621","7,939","1,762","454","161","147","1,564,199","649,363","407,282","267,136","188,442","41,566","7,880","1,765","459","159","147","1,564,588","650,239","407,820","266,830","187,978","41,343","7,845","1,768","463","156","146","1,564,763","650,851","408,265","266,774","187,428","41,165","7,788","1,738","450","160","144","1,567,409","653,889","409,474","266,733","186,291","40,849","7,729","1,706","445","151","142","1,569,084","656,027","410,385","266,820","185,163","40,626","7,636","1,691","442","150","144","1,569,293","656,733","410,811","266,660","184,664","40,435","7,572","1,702","419","158","139","1,569,954","657,939","411,323","266,414","184,132","40,271","7,481","1,694","408","155","137","1,570,212","658,625","411,700","266,390","183,568","40,079","7,448","1,700","414","151","137","1,570,545","659,515","412,265","266,121","182,971","39,817","7,468","1,690","413","150","135","1,570,760","660,144","413,065","265,839","182,332","39,557","7,441","1,688","413","142","139","1,570,953","660,952","413,198","265,843","181,751","39,417","7,423","1,672","415","143","139","1,570,658","661,180","413,448","265,738","181,212","39,302","7,424","1,660","412","142","140","1,570,556","661,575","413,717","265,484","180,826","39,203","7,418","1,651","404","133","145","1,570,403","661,868","414,220","265,253","180,252","39,062","7,404","1,660","405","135","144","1,569,695","661,820","414,168","265,188","179,886","38,895","7,391","1,665","397","142","143","1,573,020","665,898","415,012","265,427","178,532","38,576","7,250","1,641","397","145","142","1,573,392","666,980","415,442","265,330","177,923","38,248","7,178","1,620","390","140","141","1,573,173","667,374","415,743","265,117","177,491","38,055","7,110","1,608","392","144","139","1,573,175","667,594","416,371","264,933","176,983","37,954","7,065","1,607","391","141","136","1,573,451","668,037","416,965","264,837","176,531","37,808","7,013","1,595","392","135","138","1,573,702","668,042","417,858","264,803","176,226","37,589","6,953","1,569","390","133","139","1,574,235","668,591","418,799","264,798","175,453","37,452","6,932","1,551","390","134","135","1,574,726","669,255","419,593","264,525","174,974","37,265","6,918","1,553","379","128","136","1,574,190","669,101","419,791","264,430","174,538","37,251","6,883","1,551","371","134","140","1,574,085","669,585","420,185","264,099","174,091","37,067","6,867","1,547","374","135","135","1,573,996","670,077","420,461","263,724","173,733","36,963","6,845","1,554","369","135","135"
